time_s,resultant
214,1.218900343
214.01,1.434139817
214.02,1.597910847
214.03,1.590790313
214.04,1.474064657
214.05,1.211436426
214.06,0.863745216
214.07,0.577202475
214.08,0.493071117
214.09,0.64839576
214.1,0.867923676
214.11,0.965593753
214.12,0.865480468
214.13,0.258471685
214.14,2.685558684
214.15,4.105928986
214.16,1.141942955
214.17,1.540578614
214.18,0.686380827
214.19,1.613665078
214.2,2.259426236
214.21,1.005648248
214.22,0.50017315
214.23,0.83427454
214.24,0.921979094
214.25,1.019897479
214.26,0.947857976
214.27,0.705766403
214.28,0.610045694
214.29,0.580970535
214.3,0.452727296
214.31,0.270805215
214.32,0.252609759
214.33,0.449335894
214.34,0.680112086
214.35,0.794466857
214.36,0.944978796
214.37,1.155781621
214.38,1.279046902
214.39,1.40120618
214.4,1.368023262
214.41,0.956716381
214.42,0.630462626
214.43,0.557726992
214.44,0.696555445
214.45,0.846619326
214.46,0.962563604
214.47,1.06946622
214.48,1.135995587
214.49,1.100762783
214.5,0.793528633
214.51,0.598419912
214.52,2.134992097
214.53,2.949916592
214.54,1.146681979
214.55,0.932550319
214.56,0.866017422
214.57,1.606901019
214.58,1.1900204
214.59,0.893304609
214.6,0.804616572
214.61,0.827444162
214.62,0.636031468
214.63,0.499595136
214.64,0.511926577
214.65,0.468781925
214.66,0.434608705
214.67,0.368161607
214.68,0.249144325
214.69,0.144880742
214.7,0.245571573
214.71,0.444097871
214.72,0.626897363
214.73,0.817597208
214.74,1.044616405
214.75,1.280307492
214.76,1.385642902
214.77,1.442766226
214.78,1.406062508
214.79,1.220569066
214.8,0.955006201
214.81,0.622523273
214.82,0.454777709
214.83,0.521767246
214.84,0.818037444
214.85,1.041730974
214.86,0.962302159
214.87,0.436142095
214.88,2.251462351
214.89,2.140235506
214.9,0.9994753
214.91,0.713954545
214.92,0.365046579
214.93,1.101976915
214.94,1.903816153
214.95,0.941035346
214.96,0.797195525
214.97,1.007944184
214.98,1.026378799
214.99,0.9186943
215,0.775381149
215.01,0.594904784
215.02,0.525758104
215.03,0.483310304
215.04,0.388306959
215.05,0.236362278
215.06,0.136750488
215.07,0.196989853
215.08,0.367809606
215.09,0.555393929
215.1,0.767329263
215.11,0.975940266
215.12,1.095106689
215.13,1.2843352
215.14,1.384625708
215.15,1.326938535
215.16,1.060766014
215.17,0.818097873
215.18,0.671551629
215.19,0.712145581
215.2,0.939909792
215.21,1.044054596
215.22,0.982575018
215.23,0.921261802
215.24,0.543605123
215.25,1.541696779
215.26,2.743098752
215.27,1.515714373
215.28,0.399013367
215.29,0.778095648
215.3,1.09844423
215.31,1.560483892
215.32,1.158629807
215.33,0.951004909
215.34,0.864171342
215.35,0.73132215
215.36,0.617867451
215.37,0.576575047
215.38,0.500842691
215.39,0.432488025
215.4,0.378908424
215.41,0.317481837
215.42,0.151335243
215.43,0.144138388
215.44,0.436381869
215.45,0.711999102
215.46,0.914546928
215.47,1.13646845
215.48,1.338459755
215.49,1.481149214
215.5,1.559301198
215.51,1.574274534
215.52,1.40576102
215.53,1.104131426
215.54,0.794591865
215.55,0.514538439
215.56,0.445812199
215.57,0.70969696
215.58,0.960744116
215.59,1.001960276
215.6,0.702490491
215.61,1.136179813
215.62,3.547103199
